"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","::1","::1","TCP","76","57886  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"2","0.000049300","::1","::1","TCP","76","80  >  57886 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"3","0.000082700","::1","::1","TCP","64","57886  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"4","0.000236400","::1","::1","TCP","76","57887  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"5","0.000271600","::1","::1","TCP","76","80  >  57887 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"6","0.000298100","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"7","0.000609300","::1","::1","HTTP","799","GET /interface/login/login.php?site=default HTTP/1.1 "
"8","0.000633600","::1","::1","TCP","64","80  >  57886 [ACK] Seq=1 Ack=736 Win=2618880 Len=0"
"9","0.102468600","::1","::1","TCP","4152","80  >  57886 [PSH, ACK] Seq=1 Ack=736 Win=2618880 Len=4088 [TCP PDU reassembled in 11]"
"10","0.102506500","::1","::1","TCP","64","57886  >  80 [ACK] Seq=736 Ack=4089 Win=2614784 Len=0"
"11","0.102540700","::1","::1","HTTP","3134","HTTP/1.1 200 OK  (text/html)"
"12","0.102552000","::1","::1","TCP","64","57886  >  80 [ACK] Seq=736 Ack=7159 Win=2611712 Len=0"
"13","0.231646600","::1","::1","HTTP","828","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"14","0.231701600","::1","::1","TCP","64","80  >  57886 [ACK] Seq=7159 Ack=1500 Win=2618112 Len=0"
"15","0.289877100","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"16","0.289907800","::1","::1","TCP","64","57886  >  80 [ACK] Seq=1500 Ack=7720 Win=2611200 Len=0"
"17","5.294973000","::1","::1","TCP","64","80  >  57886 [FIN, ACK] Seq=7720 Ack=1500 Win=2618112 Len=0"
"18","5.294999300","::1","::1","TCP","64","57886  >  80 [ACK] Seq=1500 Ack=7721 Win=2611200 Len=0"
"19","20.766283100","::1","::1","TCP","64","57886  >  80 [FIN, ACK] Seq=1500 Ack=7721 Win=2611200 Len=0"
"20","20.766309700","::1","::1","TCP","64","80  >  57886 [ACK] Seq=7721 Ack=1501 Win=2618112 Len=0"
"21","20.766487400","::1","::1","TCP","76","57925  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"22","20.766518400","::1","::1","TCP","76","80  >  57925 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"23","20.766538500","::1","::1","TCP","64","57925  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"24","20.766758100","::1","::1","HTTP","1070","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"25","20.766780200","::1","::1","TCP","64","80  >  57887 [ACK] Seq=1 Ack=1007 Win=2618880 Len=0"
"26","20.906862900","::1","::1","HTTP","865","HTTP/1.1 302 Found "
"27","20.906885700","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1007 Ack=802 Win=2618112 Len=0"
"28","20.909706500","::1","::1","HTTP","982","GET /interface/main/tabs/main.php?token_main=Wb1Aeol5QtnC709dpYym6KGqeCNCj4gY9cg71WOq HTTP/1.1 "
"29","20.909744500","::1","::1","TCP","64","80  >  57887 [ACK] Seq=802 Ack=1925 Win=2617856 Len=0"
"30","20.950232400","::1","::1","TCP","4152","80  >  57887 [PSH, ACK] Seq=802 Ack=1925 Win=2617856 Len=4088 [TCP PDU reassembled in 50]"
"31","20.950259800","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1925 Ack=4890 Win=2614016 Len=0"
"32","20.950287500","::1","::1","TCP","7396","80  >  57887 [PSH, ACK] Seq=4890 Ack=1925 Win=2617856 Len=7332 [TCP PDU reassembled in 50]"
"33","20.950297400","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1925 Ack=12222 Win=2606592 Len=0"
"34","20.980697900","::1","::1","TCP","4152","80  >  57887 [PSH, ACK] Seq=12222 Ack=1925 Win=2617856 Len=4088 [TCP PDU reassembled in 50]"
"35","20.980739800","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1925 Ack=16310 Win=2602496 Len=0"
"36","20.980902300","::1","::1","TCP","5424","80  >  57887 [PSH, ACK] Seq=16310 Ack=1925 Win=2617856 Len=5360 [TCP PDU reassembled in 50]"
"37","20.980924200","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1925 Ack=21670 Win=2597120 Len=0"
"38","21.016025100","::1","::1","TCP","4152","80  >  57887 [PSH, ACK] Seq=21670 Ack=1925 Win=2617856 Len=4088 [TCP PDU reassembled in 50]"
"39","21.016060800","::1","::1","TCP","64","57887  >  80 [ACK] Seq=1925 Ack=25758 Win=2593024 Len=0"
