"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","::1","::1","TCP","76","64126  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"2","0.000041400","::1","::1","TCP","76","80  >  64126 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"3","0.000094100","::1","::1","TCP","64","64126  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"4","0.000309400","::1","::1","TCP","76","64127  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"5","0.000351900","::1","::1","TCP","76","80  >  64127 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"6","0.000379200","::1","::1","TCP","64","64127  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"7","0.000693800","::1","::1","HTTP","949","GET /interface/login/login.php?site=default HTTP/1.1 "
"8","0.000710000","::1","::1","TCP","64","80  >  64126 [ACK] Seq=1 Ack=886 Win=2618880 Len=0"
"9","0.114527400","::1","::1","TCP","4152","80  >  64126 [PSH, ACK] Seq=1 Ack=886 Win=2618880 Len=4088 [TCP PDU reassembled in 11]"
"10","0.114549700","::1","::1","TCP","64","64126  >  80 [ACK] Seq=886 Ack=4089 Win=2614784 Len=0"
"11","0.114572200","::1","::1","HTTP","2987","HTTP/1.1 200 OK  (text/html)"
"12","0.114580900","::1","::1","TCP","64","64126  >  80 [ACK] Seq=886 Ack=7012 Win=2611968 Len=0"
"13","0.202423500","::1","::1","HTTP","830","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"14","0.202448800","::1","::1","TCP","64","80  >  64126 [ACK] Seq=7012 Ack=1652 Win=2618112 Len=0"
"15","0.261311000","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"16","0.261343700","::1","::1","TCP","64","64126  >  80 [ACK] Seq=1652 Ack=7573 Win=2611200 Len=0"
"17","4.201971800","::1","::1","HTTP","841","GET /interface/login/login.php?site=default HTTP/1.1 "
"18","4.202000500","::1","::1","TCP","64","80  >  64126 [ACK] Seq=7573 Ack=2429 Win=2617344 Len=0"
"19","4.283159400","::1","::1","TCP","4152","80  >  64126 [PSH, ACK] Seq=7573 Ack=2429 Win=2617344 Len=4088 [TCP PDU reassembled in 21]"
"20","4.283180500","::1","::1","TCP","64","64126  >  80 [ACK] Seq=2429 Ack=11661 Win=2607104 Len=0"
"21","4.283203800","::1","::1","HTTP","2986","HTTP/1.1 200 OK  (text/html)"
"22","4.283212500","::1","::1","TCP","64","64126  >  80 [ACK] Seq=2429 Ack=14583 Win=2604288 Len=0"
"23","4.319863500","::1","::1","HTTP","830","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"24","4.319901100","::1","::1","TCP","64","80  >  64126 [ACK] Seq=14583 Ack=3195 Win=2616576 Len=0"
"25","4.374275400","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"26","4.374313200","::1","::1","TCP","64","64126  >  80 [ACK] Seq=3195 Ack=15144 Win=2603776 Len=0"
"27","9.379084700","::1","::1","TCP","64","80  >  64126 [FIN, ACK] Seq=15144 Ack=3195 Win=2616576 Len=0"
"28","9.379103800","::1","::1","TCP","64","64126  >  80 [ACK] Seq=3195 Ack=15145 Win=2603776 Len=0"
"29","13.578223700","::1","::1","TCP","64","64126  >  80 [FIN, ACK] Seq=3195 Ack=15145 Win=2603776 Len=0"
"30","13.578260000","::1","::1","TCP","64","80  >  64126 [ACK] Seq=15145 Ack=3196 Win=2616576 Len=0"
"31","13.578534500","::1","::1","TCP","76","64153  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"32","13.578585900","::1","::1","TCP","76","80  >  64153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"33","13.578617800","::1","::1","TCP","64","64153  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"34","13.603533500","::1","::1","HTTP","1065","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"35","13.603565600","::1","::1","TCP","64","80  >  64127 [ACK] Seq=1 Ack=1002 Win=2618880 Len=0"
"36","13.917645400","::1","::1","HTTP","1086","HTTP/1.1 200 OK  (text/html)"
"37","13.917668800","::1","::1","TCP","64","64127  >  80 [ACK] Seq=1002 Ack=1023 Win=2617856 Len=0"
"38","13.953734500","::1","::1","HTTP","914","GET /interface/login_screen.php?error=1&site= HTTP/1.1 "
"39","13.953776900","::1","::1","TCP","64","80  >  64127 [ACK] Seq=1023 Ack=1852 Win=2618112 Len=0"
"40","14.009340900","::1","::1","HTTP","721","HTTP/1.1 200 OK  (text/html)"
