accuracy,f1,recall,auc_roc,mcc,threshold,tp,fp,tn,fn,client,scenario,agg_mode
0.9783,0.9859,0.9877,0.9664,0.9388,0.65,15862.0,257.0,4586.0,197.0,1,clean,fedavg
0.9157,0.946,0.9607,0.9242,0.7562,0.65,15428.0,1131.0,3712.0,631.0,2,clean,fedavg
0.9358,0.957,0.9298,0.9679,0.8363,0.3,14932.0,215.0,4628.0,1127.0,3,clean,fedavg
0.9433,0.963,0.9594,0.9528,0.8438,,,,,,Average,clean,fedavg
0.9739,0.9832,0.9928,0.9687,0.9258,0.68,15944.0,431.0,4412.0,115.0,1,clean,performance
0.936,0.959,0.9727,0.9398,0.8158,0.59,15621.0,899.0,3944.0,438.0,2,clean,performance
0.9626,0.9755,0.9685,0.9648,0.897,0.3,15553.0,276.0,4567.0,506.0,3,clean,performance
0.9575,0.9726,0.978,0.9578,0.8795,,,,,,Average,clean,performance
0.9586,0.9736,0.9925,0.9323,0.8816,0.67,15939.0,746.0,4097.0,120.0,1,clean,dqa
0.9335,0.958,0.9855,0.9443,0.8072,0.67,15826.0,1156.0,3687.0,233.0,2,clean,dqa
0.9738,0.983,0.9841,0.9684,0.9262,0.3,15804.0,293.0,4550.0,255.0,3,clean,dqa
0.9553,0.9715,0.9874,0.9483,0.8717,,,,,,Average,clean,dqa
0.9829,0.9889,0.9913,0.9766,0.9518,0.36,15919.0,217.0,4626.0,140.0,1,poisoning,dqa
0.8948,0.9352,0.9887,0.8578,0.6878,0.7,15877.0,2017.0,2826.0,182.0,2,poisoning,dqa
0.9067,0.9363,0.8923,0.9543,0.7766,0.3,14330.0,222.0,4621.0,1729.0,3,poisoning,dqa
0.9281,0.9535,0.9574,0.9296,0.8054,,,,,,Average,poisoning,dqa
0.9813,0.9879,0.9908,0.9659,0.9473,0.54,15912.0,243.0,4600.0,147.0,1,defended,dqa
0.9099,0.9437,0.9828,0.8876,0.7345,0.54,15782.0,1607.0,3236.0,277.0,2,defended,dqa
0.959,0.9731,0.9636,0.9637,0.8883,0.38,15474.0,271.0,4572.0,585.0,3,defended,dqa
0.9501,0.9682,0.9791,0.9391,0.8567,,,,,,Average,defended,dqa
