Feature,Importance
login_errors_10,0.36243060239228647
auth_count_5,0.17630924714709964
td_log,0.08704465645061049
time_delta,0.08069274903287314
pkt_len,0.0649949319962401
pkt_len_log,0.06219410059605597
is_http_json,0.035010002343597774
rapid_count_5,0.027199164915110003
is_http,0.02492650688340104
post_count_10,0.023635864704417513
is_tcp,0.014210479128323815
is_syn,0.009320283545733114
post_count_5,0.00722964561043494
login_errors_5,0.007112747394493008
is_200_ok,0.005724452333321793
is_fin,0.0042729683843446995
is_302,0.0025439041283291716
is_login_error,0.002410491555411517
is_login_page,0.0015899925211457211
is_auth_endpoint,0.0007644489346013871
is_large,0.0003132758714856264
is_post,4.05013872843681e-05
is_very_rapid,2.729200067730362e-05
is_rapid,1.6907427215542903e-06
is_small,0.0
is_tls,0.0
is_udp,0.0
is_rst,0.0
